CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
278757112,2023-12-02,12:42:00,12/02/2023,12:47:00,18.0,12/09/2023,231,BURGLAR'S TOOLS,209.0,"BURGLARS TOOLS,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),988511.0,215874.0,25-44,BLACK,M,40.75919967250471,-73.98461925002194,"(40.75919967250471, -73.98461925002194)",PATROL BORO MAN SOUTH,49 STREET,UNKNOWN,UNKNOWN,M
230983775,2021-07-17,02:00:00,07/17/2021,07:00:00,71.0,07/18/2021,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,HOSPITAL,N.Y. POLICE DEPT,0,(null),(null),(null),998742.0,181235.0,25-44,BLACK,M,40.664121282631,-73.9477648403751,"(40.664121282631, -73.9477648403751)",PATROL BORO BKLYN SOUTH,(null),18-24,WHITE HISPANIC,F
243498982,2022-04-11,13:20:00,04/11/2022,14:51:00,67.0,04/11/2022,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),997843.0,175671.0,(null),(null),(null),40.6488507469884,-73.951016510623,"(40.6488507469884, -73.951016510623)",PATROL BORO BKLYN SOUTH,(null),<18,BLACK,M
264643333,2023-03-04,17:12:00,03/04/2023,17:17:00,43.0,03/04/2023,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),887,1020219.0,239110.0,25-44,BLACK HISPANIC,M,40.8229123084767,-73.8700413043181,"(40.8229123084767, -73.8700413043181)",PATROL BORO BRONX,(null),25-44,WHITE HISPANIC,F
235324121,2021-08-12,23:00:00,08/13/2021,00:30:00,83.0,08/13/2021,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,BROOKLYN,REAR OF,PARKING LOT/GARAGE (PRIVATE),N.Y. POLICE DEPT,0,(null),(null),(null),1007052.0,193757.0,25-44,WHITE HISPANIC,M,40.6984738177025,-73.917768981221,"(40.6984738177025, -73.917768981221)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE HISPANIC,F
271124618,2023-07-11,05:30:00,07/11/2023,06:50:00,111.0,07/11/2023,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1048659.0,216392.0,25-44,WHITE HISPANIC,M,40.7603961392658,-73.7675025349456,"(40.7603961392658, -73.7675025349456)",PATROL BORO QUEENS NORTH,(null),25-44,WHITE HISPANIC,F
279433729,2023-12-23,00:20:00,12/23/2023,00:26:00,83.0,12/23/2023,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),(null),1007052.0,193757.0,25-44,WHITE HISPANIC,M,40.6984738177025,-73.917768981221,"(40.6984738177025, -73.917768981221)",PATROL BORO BKLYN NORTH,(null),25-44,UNKNOWN,F
241403406,2022-03-01,15:00:00,03/01/2022,15:09:00,33.0,03/01/2022,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CLOTHING/BOUTIQUE,PORT AUTHORITY,3,(null),(null),(null),1001891.0,245600.0,25-44,BLACK,M,40.8407811088581,-73.9362453818218,"(40.8407811088581, -73.9362453818218)",PATROL BORO MAN NORTH,(null),65+,WHITE HISPANIC,F
274006990,2022-07-28,12:00:00,07/28/2022,12:30:00,110.0,09/06/2023,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1019164.0,210169.0,<18,BLACK HISPANIC,M,40.7434812638841,-73.8740035373971,"(40.7434812638841, -73.8740035373971)",PATROL BORO QUEENS NORTH,(null),<18,WHITE,F
248453016,2022-07-22,02:00:00,07/22/2022,11:00:00,62.0,07/22/2022,353,UNAUTHORIZED USE OF A VEHICLE,462.0,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),991492.0,157163.0,UNKNOWN,UNKNOWN,U,40.598052,-73.97392,"(40.598052, -73.97392)",PATROL BORO BKLYN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
