Incident Reporting Date,Trafficking Type,Industry Sector,Recruitment Method,Transportation Method,Coercion Method,Trafficker Gender,Trafficker Age,Victim Gender,Victim Age,Info Source,Data Source,Country Code,Country,Location Type,Latitude,Longitude
2023-10-13,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Child Marriage,Personal Sexual Servitude,Pre-School/Child Day Care Service,Professional/Scientific/Tech Services,Servitude,Sexual Servitude",Social Media,"Car,Bus,Truck","Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,41.15,-74.02
2023-02-23,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Female,"56-year-old,99-years-old",Female,"14-year-old,minors",Internet/URL,tah,US,United States,Arrest,40.65,-73.95
2022-09-15,Child Trafficking,"Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,Minor,Unknown,30,Female,7,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2022-07-11,Sexual Exploitation,"Arts and Entertainment,Personal Sexual Servitude,Servitude",,Car,Minor,Female,,Female,underage,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2025-02-22,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Male,23,Male,"7-year-old,minor",Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2024-02-02,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Car,"Minor,Sexual Abuse",Unknown,35,,,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2024-06-19,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,,Female,,Internet/URL,tah,US,United States,Target,40.71,-74.01
2024-03-20,"Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",Violence Threats Abuse,Car,"Minor,Sexual Abuse",Unknown,"57,45,78-years-old",Female,"underage,minor",Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2023-06-22,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Violence Threats Abuse,Car,"False Promises/Deception,Minor,Sexual Abuse",Unknown,"79,77",,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-01-31,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Minor,Sexual Abuse",Unknown,,"Male,Female",underage,Internet/URL,tah,US,United States,Unknown,40.65,-73.95
